0.023108,1730,1460
0.043086,1732,1464
0.063024,1736,1465
0.083036,1736,1466
0.103119,1736,1469
0.122968,1738,1472
0.143072,1740,1476
0.163065,1741,1480
0.183060,1743,1484
0.203068,1746,1489
0.222990,1749,1494
0.242992,1752,1499
0.263064,1755,1504
0.283044,1759,1510
0.303041,1763,1516
0.323081,1766,1521
0.343036,1771,1527
0.363021,1775,1533
0.383087,1779,1539
0.403100,1784,1545
0.423038,1788,1551
0.443036,1793,1556
0.462957,1798,1562
0.483025,1803,1568
0.502988,1808,1574
0.522937,1813,1580
0.543051,1818,1586
0.563072,1823,1592
0.583038,1828,1598
0.603001,1834,1604
0.622951,1839,1610
0.642925,1844,1616
0.663095,1850,1622
0.683074,1856,1628
0.703036,1861,1634
0.723042,1867,1639
0.743087,1872,1645
0.763065,1878,1650
0.783104,1884,1656
0.802923,1889,1661
0.822844,1895,1667
0.842742,1901,1672
0.862913,1907,1678
0.882942,1913,1683
0.902932,1919,1688
0.922690,1925,1694
0.942972,1931,1699
0.963000,1937,1704
0.982926,1943,1710
1.002763,1949,1715
1.022840,1955,1720
1.043167,1961,1725
1.063092,1967,1730
1.082934,1973,1735
1.102867,1980,1740
1.122666,1986,1745
1.142934,1992,1750
1.162998,1998,1755
1.182949,2004,1759
1.203040,2011,1764
1.222950,2017,1769
1.242856,2023,1773
1.262974,2029,1778
1.282939,2036,1783
1.302941,2042,1787
1.322915,2048,1792
1.342933,2055,1796
1.362935,2061,1801
1.383056,2067,1805
1.403131,2074,1810
1.422915,2080,1814
1.442925,2086,1818
1.462796,2093,1823
1.482910,2099,1827
1.502944,2105,1832
1.522819,2112,1836
1.542894,2118,1840
1.562665,2125,1844
1.582942,2131,1849
1.602910,2137,1853
1.622967,2144,1857
1.642911,2150,1861
1.662898,2156,1866
1.682852,2163,1870
1.702991,2169,1874
1.723013,2176,1879
1.742934,2182,1883
1.762928,2188,1887
1.782940,2195,1891
1.802925,2201,1895
1.822818,2207,1900
1.842658,2214,1904
1.862598,2220,1909
1.882620,2226,1913
1.902815,2232,1918
1.922828,2237,1922
1.942678,2243,1927
1.962799,2248,1931
1.982832,2252,1936
2.002829,2257,1941
2.022793,2261,1945
2.042668,2266,1950
2.062786,2270,1955
2.082817,2272,1960
2.102789,2272,1965
2.122764,2273,1969
2.142816,2275,1974
2.162789,2276,1979
2.182596,2276,1984
2.202818,2276,1989
2.222780,2276,1993
2.242857,2274,1997
2.262806,2272,2000
2.282756,2270,2001
2.302814,2270,2002
2.322801,2270,2002
2.342815,2269,2002
2.362787,2269,2001
2.382790,2269,2001
2.402944,2269,2001
2.422822,2269,2001
2.442692,2269,2001
2.462791,2270,2001
2.482668,2270,2001
2.502676,2270,2001
2.522936,2270,2001
2.542836,2270,2001
2.562753,2270,2001
2.582791,2270,2001
2.602856,2270,2001
2.622822,2270,2001
2.642822,2270,2001
2.662791,2270,2001
2.682575,2270,2001
2.702817,2270,2001
2.722836,2270,2001
2.742828,2270,2001
2.762665,2270,2001
2.782663,2270,2001
2.802489,2270,2001
2.822642,2270,2001
2.842706,2270,2001
2.862691,2270,2001
2.882678,2270,2001
2.902730,2270,2001
2.922677,2270,2001
2.942656,2270,2001
2.962709,2270,2001
2.982681,2270,2001
3.002699,2270,2001
3.022541,2270,2001
3.042716,2270,2001
3.062678,2270,2001
3.082550,2270,2001
3.102434,2270,2001
3.122665,2270,2001
3.142679,2270,2001
3.162704,2270,2001
3.182664,2270,2001
3.202667,2270,2001
3.222822,2270,2001
3.242709,2270,2001
3.262581,2270,2001
3.282555,2270,2001
3.302552,2270,2001
3.322489,2270,2001
3.342584,2270,2001
3.362576,2270,2001
3.382537,2270,2001
3.402576,2270,2001
3.422362,2270,2001
3.442537,2270,2001
3.462576,2270,2001
3.482495,2270,2001
3.502556,2270,2001
3.522469,2270,2001
3.542513,2270,2001
3.562665,2270,2001
3.582548,2270,2001
3.602545,2270,2001
3.622543,2270,2001
3.642627,2270,2001
